id,created_at,text
1289274185567498241,2020-07-31 18:58:14,"@hamsprow Quem é novato e precisar de ajuda, pode me chamar inbox!"
1289271889781760000,2020-07-31 18:49:06,@otaner_santana Setor financeiro e de varejo!
1289271717425115137,2020-07-31 18:48:25,"O mercado exige frieza. Se você está muito mal com o mercado hoje, é porque está alavancado demais e seja melhor rever suas estratégias. 

Não dá para acertar todas, mas dá sempre para minimizar suas perdas. Estudem sempre, pessoal!"
1289250078729760768,2020-07-31 17:22:26,@Derik30348834 É esse o espírito que precisamos aqui no twitter!! https://t.co/ZgOci0zpUx
1289243697222045698,2020-07-31 16:57:05,Só a Cialis para dar alegria hoje!
1289222270821396486,2020-07-31 15:31:56,@luidge2 @albuquerque_af @zoiofps @fbo_dantas @george_gavioli @rudekwydra @GustavoSPFigue1 @jefersont_mb @eNamoradadobozo @MarceloBerghahn @tradersclubbr Falar com a @diiandrasantos
1289206027964096513,2020-07-31 14:27:24,@albuquerque_af https://t.co/E2sOQxd9Ll
1289165535217766409,2020-07-31 11:46:29,Verdades difíceis de engolir https://t.co/OHEwzqbDm4
1289156056027996161,2020-07-31 11:08:49,"Sexta! 

📈 Vasta precifica IPO acima do teto e vale mais de R$8 bilhões #congaday 
🇧🇷 9h Índice de preços ao produtor 
🇧🇷 9h30 Relação dívida líquida/PIB
🇺🇸 9h30 Índice de preços do PCE 
🇺🇸 10h45 PMI Chicago mensal
📈 15h Coletiva #PETR4 
📈 S&amp;P +0,17% 

Bons trades!"
1289152289207472129,2020-07-31 10:53:51,@ThiagoNigro @albuquerque_af @cafecomferri Acho que gostaram da indicação
1289151861312950272,2020-07-31 10:52:09,@tcmemesbr Não vale isso kkkkkkkkkkkkkkkkkk https://t.co/bY7ag3CBWe
1289136255666618368,2020-07-31 09:50:09,@danielvalin Kkkkkkkkkkkkkkkkkkkkk
1289134954534834181,2020-07-31 09:44:58,Bom dia pra você que tem o sono desregulado e acorda cedo sem precisar
1288986573762179072,2020-07-30 23:55:22,@wazlawickju https://t.co/lkpDeFbY3v
1288986295541338115,2020-07-30 23:54:15,@puglihedge Ta comprada até as tampas Pugli?
